 Feature Coefficients
0 rating 1.913709490348481
1 kills -0.1835363130094553
2 deaths -0.14884916637053863
3 assists -0.050827343679838155
4 kills_deaths -0.034687146639407494
5 kill_assist_trade_survive_ratio 0.011632271842377978
6 average_damage_per_round 0.0012559708579823843
7 headshot_ratio 0.0015757259811498717
8 first_kills 0.009012140747049086
9 first_deaths 0.07786959744462238
10 tier -0.1666389844218591
11 rounds_won 0.607647635096248
12 agent_Astra -0.03234020104118049
13 agent_Breach -0.0973205800692914
14 agent_Brimstone -0.07692383278264195
15 agent_Chamber -0.03505791566361147
16 agent_Clove 0.08687568298603503
17 agent_Cypher -0.023535556104616714
18 agent_Deadlock -0.012438066865972907
19 agent_Fade -0.09121341372933234
20 agent_Gekko -0.015502170044780892
21 agent_Harbor -0.05639123012813843
22 agent_Iso 0.0425521621205336
23 agent_Jett 0.09633892115243467
24 agent_Kayo -0.05270400201053564
25 agent_Killjoy -0.04659588826778377
26 agent_Neon 0.09847958007222322
27 agent_Omen -0.06383715813826588
28 agent_Phoenix 0.15343494496225235
29 agent_Raze 0.09499314451675821
30 agent_Reyna 0.08472528671099538
31 agent_Sage 0.05379482964604672
32 agent_Skye -0.007084054805417203
33 agent_Sova -0.10754925929613583
34 agent_Viper -0.03737058613871396
35 agent_Yoru 0.036734173184251054
36 side_ct -0.06583155108867171
37 side_t 0.05789636135428793
